Date,Close
2023-10-12,27400
2023-10-13,27450
2023-10-14,27500
2023-10-15,27550
2023-10-16,27600
2023-10-17,27650
2023-10-18,27700
2023-10-19,27750
2023-10-20,27800
2023-10-21,27850
2023-10-22,27900
2023-10-23,27950
2023-10-24,28000
2023-10-25,28050
2023-10-26,28100
2023-10-27,28150
2023-10-28,28200
2023-10-29,28250
2023-10-30,28300
2023-10-31,28350
